drug_name,num_prescriber,total_cost
LITHIUM,7,4915
SONATA,1,4898
MICROGESTIN FE,19,4884
COMPRO,6,4843
TETANUS DIPHTHERIA TOXOIDS,9,4831
MIRVASO,1,4802
EASY TOUCH INSULIN SAFETY,4,4791
METHYLDOPA-HYDROCHLOROTHIAZIDE,5,4766
TOBREX,2,4748
XYZAL,3,4706
K-SOL,2,4701
SARAFEM,1,4691
PHENADOZ,3,4680
CYCLAFEM,17,4648
LEVOFLOXACIN-D5W,7,4620
ISONIAZID,37,4587
URSO,1,4582
DOBUTAMINE HCL IN DEXTROSE,3,4569
PROMETRIUM,4,4531
LOPREEZA,3,4503
TENORETIC 50,2,4476
CRYSELLE,18,4397
SALAGEN,2,4351
YF-VAX,2,4337
SULFACETAMIDE-PREDNISOLONE,12,4320
TRI-PREVIFEM,19,4278
TRINESSA,21,4267
GLUCOVANCE,3,4254
NP THYROID,9,4247
ADVOCATE PEN NEEDLES,5,4228
DOXY 100,1,4212
RIMANTADINE HCL,2,4208
TRUSOPT,2,4198
DILATRATE-SR,1,4152
POTASSIUM PHOSPHATE,1,4101
CLINDAMYCIN PHOS-BENZOYL PEROX,2,4092
VEXOL,2,4081
METHYCLOTHIAZIDE,6,4075
CARDURA XL,3,4050
STROMECTOL,6,4046
TRETINOIN MICROSPHERE,1,4000
DENTA 5000 PLUS,31,3898
FML,2,3879
NATACYN,1,3856
DEXTROSE IN LACTATED RINGERS,3,3853
MINOCYCLINE HCL ER,1,3843
PEPCID,1,3833
NORETHINDRONE,19,3828
LIDOCAINE-HYDROCORTISONE,1,3723
MILLIPRED,2,3722
ALOMIDE,2,3717
MILRINONE IN 5% DEXTROSE,1,3692
CORDARONE,1,3625
HEALTHY ACCENTS UNIFINE PENTIP,9,3625
ALTABAX,1,3607
DEPO-MEDROL,11,3570
LEVETIRACETAM-NACL,1,3564
ACTOPLUS MET XR,1,3561
PREFEST,3,3504
GLUCOTROL XL,4,3492
ALDACTAZIDE,4,3483
ZARAH,5,3445
EASY TOUCH ALCOHOL PREP PADS,42,3360
PROCHLORPERAZINE,3,3356
BENZONATATE,10,3335
PRIMSOL,1,3329
AVIANE,16,3312
PREMPHASE,2,3279
PYRAZINAMIDE,2,3264
BLEPHAMIDE,2,3263
M-M-R II VACCINE,2,3188
TROPICAMIDE,6,3175
OLEPTRO ER,2,3131
PEG-3350 WITH FLAVOR PACKS,5,3126
MAXZIDE,3,3119
VARIVAX VACCINE,1,3027
AZURETTE,7,2981
ALOCRIL,1,2973
ACUVAIL,1,2935
PROPANTHELINE BROMIDE,2,2932
OGESTREL,5,2930
XANAX XR,1,2930
ORSYTHIA,10,2923
ARNUITY ELLIPTA,1,2861
DEXAMETHASONE INTENSOL,1,2850
MONONESSA,15,2830
LACTATED RINGERS,4,2825
JUNEL,9,2812
METHYLPREDNISOLONE ACETATE,7,2784
NORA-BE,11,2751
GRASTEK,1,2747
DROXIA,6,2744
GILDESS,10,2735
ULTRA-THIN II,5,2729
VIORELE,8,2658
CHLOROQUINE PHOSPHATE,3,2649
PREVIDENT 5000,12,2648
GLUCOTROL,2,2602
MIDAZOLAM HCL,8,2594
MAGNESIUM SULFATE-D5W,1,2593
ALCOHOL SWABS,51,2584
ACETIC ACID-ALUMINUM,3,2573
VICOPROFEN,1,2570
FOCALIN,2,2565
ENPRESSE,11,2560
COLYTE WITH FLAVOR PACKS,3,2553
ASMANEX HFA,1,2552
E.E.S. 400,1,2542
BACTROBAN NASAL,2,2540
LOPRESSOR,1,2503
NADOLOL-BENDROFLUMETHIAZIDE,2,2495
NULYTELY WITH FLAVOR PACKS,1,2447
CATAPRES,1,2414
1ST TIER UNIFINE PENTIPS,5,2411
AK-POLY-BAC,6,2411
SURE-JECT INSULIN SYRINGE,3,2409
QUILLIVANT XR,1,2399
PROTONIX IV,2,2377
TYBOST,1,2369
STREPTOMYCIN SULFATE,1,2351
LO LOESTRIN FE,2,2331
K-PHOS ORIGINAL,6,2326
ELESTAT,1,2318
RESCRIPTOR,1,2318
CENTANY AT,1,2317
ACCOLATE,1,2293
INSUPEN,8,2272
AVANDIA,1,2269
DIABETA,1,2261
YASMIN 28,2,2247
GENTAMICIN SULFATE IN NS,6,2214
NEOMYCIN-POLYMYXIN-GRAMICIDIN,4,2211
DASETTA,11,2206
DITROPAN XL,1,2190
LINEZOLID-0.9% NACL,1,2172
CORTISONE ACETATE,2,2102
LUTERA,11,2090
PEGANONE,1,2073
EPINEPHRINE,1,2055
RECLIPSEN,9,2048
K EFFERVESCENT,3,2047
TWYNSTA,1,2032
AZASAN,1,2017
EPIDUO,1,2013
QUINIDINE SULFATE,9,2010
BICILLIN C-R,1,1995
BETAMETHASONE ACETATE-SOD PHOS,2,1975
HIPREX,1,1964
ADALAT CC,2,1946
TIMOPTIC,2,1903
PENTAM 300,1,1897
ZYLOPRIM,2,1897
CLEMASTINE FUMARATE,8,1891
METAPROTERENOL SULFATE,2,1844
DEXTROSE 5%-0.9% NACL,5,1807
TRI-LINYAH,10,1807
PREVIFEM,10,1803
PRENATE MINI,1,1795
AZULFIDINE,1,1794
TOLMETIN SODIUM,1,1786
TENIVAC,2,1777
QUESTRAN,1,1763
SF,18,1749
VANISHPOINT,2,1745
CAMILA,7,1731
PRENATE ELITE,1,1728
LEVORA-28,10,1724
X-VIATE,1,1686
POTASSIUM ACETATE,1,1674
MAGNESIUM SULFATE,3,1671
KLOR-CON M15,4,1669
METIPRANOLOL,1,1658
ERRIN,7,1655
CORTISPORIN-TC,1,1652
RELION PEN NEEDLES,6,1639
SINEMET 25-250,1,1626
SYEDA,3,1618
NATAZIA,1,1609
LEVONORGESTREL-ETH ESTRADIOL,8,1605
TEKAMLO,1,1596
ZOVIA 1-35E,5,1588
DUTOPROL,1,1546
MEFLOQUINE HCL,2,1542
PREPLUS,9,1531
CUVPOSA,1,1526
PROCTO-PAK,4,1522
MONO-LINYAH,10,1511
BUTISOL SODIUM,1,1498
BACIIM,1,1486
SOLU-CORTEF,3,1480
FLUMAZENIL,3,1454
ELINEST,6,1445
MICROGESTIN,6,1432
HYDROCODONE-CHLORPHENIRAMNE ER,1,1427
HALCION,1,1425
NEOMYCIN-BACITRACIN-POLY-HC,2,1407
REGLAN,1,1407
EPROSARTAN MESYLATE,2,1401
DESOGESTREL-ETHINYL ESTRADIOL,7,1397
SODIUM CITRATE & CITRIC ACID,3,1394
RENAL CAPS,3,1383
IBUDONE,1,1363
MYZILRA,6,1357
NOVOFINE PLUS,2,1338
BALZIVA,4,1325
YAZ,1,1323
VIRT-PN DHA,2,1316
VOL-PLUS,7,1291
TRI-LEGEST FE,2,1280
GAVILYTE-H AND BISACODYL,1,1263
K-PHOS NO.2,1,1256
ZENCHENT,5,1256
SYNALGOS-DC,1,1254
METADATE ER,1,1253
LINDANE,1,1247
TOLBUTAMIDE,1,1244
ORTHO TRI-CYCLEN,2,1233
ATROVENT,1,1193
PLETAL,1,1192
AMETHYST,2,1182
PHOSPHOLINE IODIDE,1,1172
PROCALAMINE,1,1172
METHYLPHENIDATE SR,1,1165
ADVOCATE SYRINGES,2,1162
DENTAGEL,11,1142
COLY-MYCIN S,1,1133
MAXZIDE-25 MG,2,1101
PORTIA,5,1098
JOLIVETTE,6,1093
KELNOR 1-35,4,1081
ALDACTONE,2,1074
KARIVA,4,1073
KLOR-CON-EF,4,1070
ETIDRONATE DISODIUM,1,1067
PAROEX,2,1050
NORGESTIMATE-ETHINYL ESTRADIOL,5,1042
ALCOHOL SWAB,13,1026
EASY TOUCH INSULIN SYRINGE,4,1023
MINIPRESS,1,1022
NORETHIN-ETH ESTRA FERROUS FUM,3,1013
DEXTROSE 5%-0.45% NACL-KCL,1,998
COARTEM,1,994
PIMTREA,2,990
PAPAVERINE HCL,1,984
EPIVIR HBV,1,915
XYLOCAINE,1,915
IPOL,1,897
SUCLEAR,1,870
POLYCIN,3,857
PRENATAL VITAMIN PLUS LOW IRON,6,834
PNV-DHA,1,829
NOR-Q-D,1,818
PREVIDENT 5000 PLUS,4,812
SAFETYGLIDE INSULIN SYRINGE,1,797
PROGESTERONE IN OIL,1,785
PREVIDENT 5000 SENSITIVE,4,781
TRIVORA-28,3,759
TPN ELECTROLYTES,1,757
URIN D.S.,3,751
CIPROFLOXACIN-D5W,2,743
DEPLIN-ALGAL OIL,1,743
MAXIDEX,1,739
NORETHINDRON-ETHINYL ESTRADIOL,3,729
RELENZA,1,728
LARIN FE,4,725
CHLORPROPAMIDE,1,723
LOMUSTINE,1,703
FALMINA,4,700
CISPLATIN,1,677
HEATHER,3,674
ZOVIA 1-50E,2,668
GOLYTELY,3,666
LOTENSIN,1,664
ALYACEN,2,661
ERY,1,661
LEVONEST,3,660
MINI ULTRA-THIN II,1,658
AVELOX IV,1,656
DROSPIRENONE-ETHINYL ESTRADIOL,1,651
TRICITRATES,1,636
VIRT-PN,1,628
AMNESTEEM,1,611
AMOX TR-POTASSIUM CLAVULANATE,2,602
NEOMYCIN-BACITRACIN-POLYMYXIN,1,602
VELIVET,2,574
TRIPHROCAPS,1,573
METHADOSE,1,541
TERUMO INSULIN SYRINGE,2,521
VESTURA,1,518
VIRT-CAPS,1,490
NIKKI,1,483
ORTHO-NOVUM,1,474
SHAROBEL,2,473
CEFAZOLIN SODIUM-DEXTROSE,1,457
SE-NATAL 19,1,407
PREVIDENT 5000 ENAMEL PROTECT,2,389
K-PHOS NEUTRAL,1,375
MARLISSA,2,372
PAMIDRONATE DISODIUM,1,371
DESOGESTR-ETH ESTRAD ETH ESTRA,1,370
RENO CAPS,1,325
MAXIPIME,1,310
COLYTE WITH FLAVOR PACKETS,1,298
PERIOGARD,4,296
TARON-C DHA,1,293
PRENATABS FA,1,280
TRINATAL RX 1,1,264
XYLOCAINE-MPF,1,260
SILVADENE,1,249
DILT-CD,1,247
WERA,1,236
CAREFINE PEN NEEDLE,2,234
CARBINOXAMINE MALEATE,1,230
CLEOCIN PHOSPHATE IN D5W,1,230
POTASSIUM BICARBONATE,1,220
LACLOTION,1,213
FLUCONAZOLE-NACL,1,211
JENCYCLA,2,207
LESSINA,2,206
PRODIGY INSULIN SYRINGE,1,205
KURVELO,2,198
EMOQUETTE,1,174
MULTI-VITAMIN WITH FLUORIDE,1,168
LARIN,1,158
PROMETHAZINE-CODEINE,2,156
HYOSCYAMINE SULFATE ER,1,147
CURITY ALCOHOL PREPS,3,146
PROMETHAZINE-DM,2,141
FEXOFENADINE HCL,1,127
TETRACAINE HCL,1,125
ENSKYCE,1,117
DEBLITANE,1,116
MAXI-COMFORT,1,109
PIRMELLA,1,100
ALCOHOL PREP SWABS,3,98
WEBCOL,2,75
ALCOHOL WIPES,2,73
B-D SINGLE USE ALCOHOL SWAB,1,55
SURE-PREP ALCOHOL PREP PADS,1,43
